frame,players,goalkeepers,referees,balls,preprocess_time_ms,inference_time_ms,postprocess_time_ms,total_time_ms
80,16,1,1,1,0.15211105346679688,925.3544807434082,4.185199737548828,929.6934604644775
82,16,1,1,0,0.2124309539794922,923.6173629760742,4.103422164916992,927.933931350708
84,16,1,1,0,0.1888275146484375,929.3086528778076,3.991365432739258,933.4895610809326
86,15,1,1,0,0.18787384033203125,971.9245433807373,4.065513610839844,976.1786460876465
88,15,1,1,0,0.2086162567138672,942.4264430999756,4.277467727661133,946.9132423400879
90,15,1,1,0,0.20122528076171875,935.2824687957764,3.734111785888672,939.2185211181641
92,15,1,1,0,0.18596649169921875,915.0590896606445,3.706216812133789,918.952465057373
94,15,1,1,0,0.32639503479003906,940.3040409088135,4.093647003173828,944.7252750396729
96,15,1,0,0,0.2110004425048828,957.9896926879883,4.180431365966797,962.3823165893555
98,13,0,0,0,0.19979476928710938,932.671070098877,3.034353256225586,935.9064102172852
100,12,0,0,0,0.10561943054199219,1010.908842086792,3.1523704528808594,1014.1680240631104
102,11,1,0,0,0.2605915069580078,1055.2408695220947,3.2041072845458984,1058.706521987915
104,11,1,0,0,0.6043910980224609,1037.4393463134766,2.9909610748291016,1041.0358905792236
106,11,0,0,0,0.2582073211669922,966.8567180633545,2.5320053100585938,969.6478843688965
108,11,0,0,2,0.5750656127929688,930.4304122924805,2.918720245361328,933.9251518249512
110,10,0,0,1,0.2675056457519531,931.0564994812012,2.7608871459960938,934.0863227844238
112,11,0,0,1,0.13208389282226562,924.8952865600586,2.6366710662841797,927.6649951934814
114,11,0,0,1,0.20837783813476562,923.985481262207,2.707242965698242,926.9015789031982
116,12,0,0,1,0.2608299255371094,950.6433010101318,2.9082298278808594,953.8130760192871
118,12,0,0,1,0.5469322204589844,927.0639419555664,3.41796875,931.0300350189209
120,12,0,0,2,0.22339820861816406,948.1499195098877,3.031015396118164,951.4052867889404
122,12,0,0,2,0.23627281188964844,941.7080879211426,3.1757354736328125,945.1210498809814
124,12,0,0,2,0.2334117889404297,930.776834487915,3.0357837677001953,934.0472221374512
126,12,0,0,2,0.17976760864257812,921.5011596679688,3.0541419982910156,924.7362613677979
128,12,0,0,0,0.09083747863769531,945.0640678405762,2.786874771118164,947.9424953460693
130,12,0,0,0,0.5953311920166016,940.8540725708008,2.736330032348633,944.1871643066406
132,11,0,0,1,0.22530555725097656,934.2250823974609,2.6688575744628906,937.1199607849121
134,12,0,0,1,0.2300739288330078,921.7443466186523,3.0171871185302734,924.9923229217529
136,12,0,0,1,0.16927719116210938,946.8443393707275,2.5932788848876953,949.6078491210938
138,12,0,0,1,0.22220611572265625,930.8295249938965,2.525806427001953,933.5782527923584
140,12,0,0,1,0.2532005310058594,957.0822715759277,2.8929710388183594,960.2296352386475
142,11,0,0,1,0.24056434631347656,939.643383026123,2.8045177459716797,942.6896572113037
144,11,0,0,0,0.25725364685058594,948.0733871459961,2.529144287109375,950.8605003356934
